,token,nature,head,nr_of_dependents,constituent_of_head,constituency_paths
0,The,OTH,Cabinet,0,NOT_HEAD,"['S', 'S', 'NP', 'DT']"
1,Cabinet,OTH,hopes,1,"['The', 'Cabinet']","['S', 'S', 'NP', 'NNP']"
2,hopes,VERB,said,2,"['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'VBZ']"
3,to,OTH,be,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'TO']"
4,be,VERB,hopes,2,"['to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
5,able,OTH,be,1,"['able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'JJ']"
6,to,OTH,abolish,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'TO']"
7,abolish,VERB,able,5,"['to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'VB']"
8,most,OTH,abolish,1,"['most', 'of', 'the', 'remaining', 'corona', 'measures']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'NP', 'JJS']"
9,of,PREP,most,1,"['of', 'the', 'remaining', 'corona', 'measures']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'IN']"
10,the,OTH,measures,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'DT']"
11,remaining,MOD,measures,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'VBG']"
12,corona,MOD,measures,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NN']"
13,measures,OTH,of,3,"['the', 'remaining', 'corona', 'measures']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NNS']"
14,by,PREP,abolish,1,"['by', 'the', 'beginning', 'of', 'March']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'IN']"
15,the,OTH,beginning,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
