,sentence,full_tree,first_entity,second_entity,shortest_dep_path
0,"The Cabinet hopes to be able to abolish most of the remaining corona measures by the beginning of March, including the use of face masks and the 1.5 meter social distancing rule, sources said.","(ROOT (S (S (NP (DT The) (NNP Cabinet)) (VP (VBZ hopes) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB abolish) (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (VBG remaining) (NN corona) (NNS measures)))) (PP (IN by) (NP (NP (DT the) (NN beginning)) (PP (IN of) (NP (NNP March))))) (, ,) (PP (VBG including) (NP (NP (DT the) (NN use)) (PP (IN of) (NP (NP (NN face) (NNS masks)) (CC and) (NP (DT the) (NML (CD 1.5) (NN meter)) (NML (JJ social) (NN distancing)) (NN rule))))))))))))))) (, ,) (NP (NNS sources)) (VP (VBD said)) (. .)))",cabinet,most,"['cabinet', 'the', 'measures', 'of', 'most']"
1,Those wanting to attend large festivals and events will be required to show a negative coronavirus test.,(ROOT (S (NP (NP (DT Those)) (VP (VBG wanting) (S (VP (TO to) (VP (VB attend) (NP (JJ large) (NNS festivals) (CC and) (NNS events))))))) (VP (MD will) (VP (VB be) (VP (VBN required) (S (VP (TO to) (VP (VB show) (NP (DT a) (JJ negative) (NN coronavirus) (NN test)))))))) (. .))),those,festivals,"['those', 'wanting', 'attend', 'festivals']"
2,The Cabinet first wants to hear from the Outbreak Management Team (OMT) whether such extensive relaxation of the restrictions in the Netherlands is a responsible course of action.,(ROOT (S (NP (DT The) (NNP Cabinet)) (ADVP (RB first)) (VP (VBZ wants) (S (VP (TO to) (VP (VB hear) (PP (IN from) (NP (NP (DT the) (NML (NNP Outbreak) (NNP Management)) (NNP Team) (-LRB- () (NNP OMT)) (ADJP (-RRB- )) (SBAR (IN whether) (S (NP (NP (JJ such) (JJ extensive) (NN relaxation)) (PP (IN of) (NP (NP (DT the) (NNS restrictions)) (PP (IN in) (NP (DT the) (NNPS Netherlands)))))) (VP (VBZ is) (NP (NP (DT a) (JJ responsible) (NN course)) (PP (IN of) (NP (NN action)))))))))))))) (. .))),,,
3,"Coronavirus infections in the country are currently at an all-time high, and Covid-19 hospitalizations have been rising for five weeks, but intensive care admissions have remained near a 100-day low.","(ROOT (S (S (NP (NP (NN Coronavirus) (NNS infections)) (PP (IN in) (NP (DT the) (NN country)))) (VP (VBP are) (ADVP (RB currently)) (PP (IN at) (NP (DT an) (NML (DT all) (HYPH -) (NN time)) (JJ high))))) (, ,) (CC and) (S (NP (NML (NNP Covid) (CD -19)) (NNS hospitalizations)) (VP (VBP have) (VP (VBN been) (VP (VBG rising) (PP (IN for) (NP (CD five) (NNS weeks))))))) (, ,) (CC but) (S (NP (JJ intensive) (NN care) (NNS admissions)) (VP (VBP have) (VP (VBN remained) (PP (IN near) (NP (DT a) (NML (CD 100) (HYPH -) (NN day)) (NN low)))))) (. .)))",,,
4,"From February 25, nightlife locations, festivals and events without fixed seating may already be open to people who test negative for the coronavirus infection.","(ROOT (S (PP (IN From) (NP (NNP February) (CD 25))) (, ,) (NP (NP (NN nightlife) (NNS locations)) (, ,) (NP (NNS festivals)) (CC and) (NP (NP (NNS events)) (PP (IN without) (NP (VBN fixed) (NN seating))))) (VP (MD may) (ADVP (RB already)) (VP (VB be) (ADJP (JJ open) (PP (IN to) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP test) (ADJP (JJ negative)) (PP (IN for) (NP (DT the) (NN coronavirus) (NN infection))))))))))) (. .)))",,,
5,These changes to policy in the Netherlands are expected to be announced at a press conference on Tuesday.,(ROOT (S (NP (NP (DT These) (NNS changes)) (PP (IN to) (NP (NP (NN policy)) (PP (IN in) (NP (DT the) (NNPS Netherlands)))))) (VP (VBP are) (VP (VBN expected) (S (VP (TO to) (VP (VB be) (VP (VBN announced) (PP (IN at) (NP (DT a) (NN press) (NN conference))) (PP (IN on) (NP (NNP Tuesday))))))))) (. .))),,,
6,"This week, Kuipers said the government's new focus is to keep society open, which was celebrated by the mayors on the Security Council.","(ROOT (S (NP (DT This) (NN week)) (, ,) (NP (NNP Kuipers)) (VP (VP (VBD said) (SBAR (S (NP (NP (DT the) (NN government) (POS 's)) (JJ new) (NN focus)) (VP (VBZ is) (S (VP (TO to) (VP (VB keep) (NP (NN society)) (S (ADJP (JJ open)))))))))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD was) (VP (VBN celebrated) (PP (IN by) (NP (NP (DT the) (NNS mayors)) (PP (IN on) (NP (DT the) (NNP Security) (NNP Council)))))))))) (. .)))",kuipers,society,"['kuipers', 'said', 'is', 'keep', 'society']"
7,"If the experts think it's justified, further steps will probably be taken at the beginning of March.","(ROOT (S (SBAR (IN If) (S (NP (DT the) (NNS experts)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (VBN justified)))))))) (, ,) (NP (JJ further) (NNS steps)) (VP (MD will) (ADVP (RB probably)) (VP (VB be) (VP (VBN taken) (PP (IN at) (NP (NP (DT the) (NN beginning)) (PP (IN of) (NP (NNP March)))))))) (. .)))",,,
8,"These relaxations may be announced at a press conference on March 8, but that is not yet certain.","(ROOT (S (S (NP (DT These) (NNS relaxations)) (VP (MD may) (VP (VB be) (VP (VBN announced) (PP (IN at) (NP (DT a) (NN press) (NN conference))) (PP (IN on) (NP (NNP March) (CD 8))))))) (, ,) (CC but) (S (NP (DT that)) (VP (VBZ is) (RB not) (ADVP (RB yet)) (ADJP (JJ certain)))) (. .)))",,,
9,"Earlier in the day it was emerged that the Cabinet wants to extend the opening hours for the hospitality industry, theaters and cinemas next week.","(ROOT (S (ADVP (RBR Earlier) (PP (IN in) (NP (DT the) (NN day)))) (NP (PRP it)) (VP (VBD was) (VP (VBN emerged) (SBAR (IN that) (S (NP (DT the) (NNP Cabinet)) (VP (VBZ wants) (S (VP (TO to) (VP (VB extend) (NP (NP (DT the) (NN opening) (NNS hours)) (PP (IN for) (NP (NP (DT the) (NN hospitality) (NN industry)) (, ,) (NP (NNS theaters)) (CC and) (NP (NNS cinemas))))) (NP (JJ next) (NN week)))))))))) (. .)))",cabinet,hours,"['cabinet', 'the', 'hours']"
10,The exact time of closure is still being discussed.,(ROOT (S (NP (NP (DT The) (JJ exact) (NN time)) (PP (IN of) (NP (NN closure)))) (VP (VBZ is) (ADVP (RB still)) (VP (VBG being) (VP (VBN discussed)))) (. .))),,,
11,"These businesses currently have to close at 10 p.m. Customers may no longer have to remain in assigned seats, and social distancing requirements in the hospitality and cultural sector could disappear, allowing them to increase attendance to maximum capacity.",(ROOT (S (NP (DT These) (NNS businesses)) (ADVP (RB currently)) (VP (VBP have) (S (VP (TO to) (VP (VB close) (PP (IN at) (NP (CD 10) (NN p.m))))))) (. .))),businesses,attendance,"['businesses', 'have', 'close', 'to', 'attendance']"
