token	dependency	head	dependent	is_sent_start
The	det	Cabinet	[]	True
Cabinet	nsubj	hopes	['The']	False
hopes	ccomp	said	['The', 'Cabinet', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	False
to	aux	be	[]	False
be	xcomp	hopes	['to', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	False
able	acomp	be	['to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',']	False
to	aux	abolish	[]	False
abolish	xcomp	able	['to', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',']	False
most	dobj	abolish	['of', 'the', 'remaining', 'corona', 'measures']	False
of	prep	most	['the', 'remaining', 'corona', 'measures']	False
the	det	measures	[]	False
remaining	amod	measures	[]	False
corona	compound	measures	[]	False
measures	pobj	of	['the', 'remaining', 'corona']	False
by	prep	abolish	['the', 'beginning', 'of', 'March']	False
the	det	beginning	[]	False
beginning	pobj	by	['the', 'of', 'March']	False
of	prep	beginning	['March']	False
March	pobj	of	[]	False
,	punct	abolish	[]	False
including	prep	be	['the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	False
the	det	use	[]	False
use	pobj	including	['the', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	False
of	prep	use	['face', 'masks']	False
face	compound	masks	[]	False
masks	pobj	of	['face']	False
and	cc	use	[]	False
the	det	rule	[]	False
1.5	nummod	meter	[]	False
meter	nmod	rule	['1.5']	False
social	amod	distancing	[]	False
distancing	compound	rule	['social']	False
rule	conj	use	['the', '1.5', 'meter', 'social', 'distancing']	False
,	punct	said	[]	False
sources	nsubj	said	[]	False
said	ROOT	said	['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule', ',', 'sources', '.']	False
.	punct	said	[]	False
Those	nsubjpass	required	['wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']	True
wanting	acl	Those	['to', 'attend', 'large', 'festivals', 'and', 'events']	False
to	aux	attend	[]	False
attend	xcomp	wanting	['to', 'large', 'festivals', 'and', 'events']	False
large	amod	festivals	[]	False
festivals	dobj	attend	['large', 'and', 'events']	False
and	cc	festivals	[]	False
events	conj	festivals	[]	False
will	aux	required	[]	False
be	auxpass	required	[]	False
required	ROOT	required	['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events', 'will', 'be', 'to', 'show', 'a', 'negative', 'coronavirus', 'test', '.']	False
to	aux	show	[]	False
show	advcl	required	['to', 'a', 'negative', 'coronavirus', 'test']	False
a	det	test	[]	False
negative	amod	test	[]	False
coronavirus	compound	test	[]	False
test	dobj	show	['a', 'negative', 'coronavirus']	False
.	punct	required	[]	False
The	det	Cabinet	[]	True
Cabinet	nsubj	wants	['The']	False
first	advmod	wants	[]	False
wants	ROOT	wants	['The', 'Cabinet', 'first', 'to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')', 'whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action', '.']	False
to	aux	hear	[]	False
hear	xcomp	wants	['to', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']	False
from	prep	hear	['the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']	False
the	det	Team	[]	False
Outbreak	compound	Management	[]	False
Management	compound	Team	['Outbreak']	False
Team	pobj	from	['the', 'Outbreak', 'Management', '(', 'OMT', ')']	False
(	punct	OMT	[]	False
OMT	appos	Team	['(']	False
)	punct	Team	[]	False
whether	mark	is	[]	False
such	amod	relaxation	[]	False
extensive	amod	relaxation	[]	False
relaxation	nsubj	is	['such', 'extensive', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands']	False
of	prep	relaxation	['the', 'restrictions', 'in', 'the', 'Netherlands']	False
the	det	restrictions	[]	False
restrictions	pobj	of	['the', 'in', 'the', 'Netherlands']	False
in	prep	restrictions	['the', 'Netherlands']	False
the	det	Netherlands	[]	False
Netherlands	pobj	in	['the']	False
is	advcl	wants	['whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'a', 'responsible', 'course', 'of', 'action']	False
a	det	course	[]	False
