	token	constituent_of_head	nature
0	The	NOT_HEAD	OTH
1	Cabinet	['The', 'Cabinet']	OTH
2	hopes	['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	VERB
3	to	NOT_HEAD	OTH
4	be	['to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	VERB
5	able	['able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',']	OTH
6	to	NOT_HEAD	OTH
7	abolish	['to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',']	VERB
8	most	['most', 'of', 'the', 'remaining', 'corona', 'measures']	OTH
9	of	['of', 'the', 'remaining', 'corona', 'measures']	PREP
10	the	NOT_HEAD	OTH
11	remaining	NOT_HEAD	MOD
12	corona	NOT_HEAD	MOD
13	measures	['the', 'remaining', 'corona', 'measures']	OTH
14	by	['by', 'the', 'beginning', 'of', 'March']	PREP
15	the	NOT_HEAD	OTH
16	beginning	['the', 'beginning', 'of', 'March']	OTH
17	of	['of', 'March']	PREP
18	March	NOT_HEAD	OTH
19	,	NOT_HEAD	OTH
20	including	['including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	PREP
21	the	NOT_HEAD	OTH
22	use	['the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']	OTH
23	of	['of', 'face', 'masks']	PREP
24	face	NOT_HEAD	MOD
25	masks	['face', 'masks']	OTH
26	and	NOT_HEAD	OTH
27	the	NOT_HEAD	OTH
28	1.5	NOT_HEAD	MOD
29	meter	['1.5', 'meter']	OTH
30	social	NOT_HEAD	MOD
