,token,dependency,head,dependent,constituent,paths
0,The,det,Cabinet,[],['The'],"['S', 'S', 'NP', 'DT']"
1,Cabinet,nsubj,hopes,['The'],"['The', 'Cabinet']","['S', 'S', 'NP', 'NNP']"
2,hopes,ccomp,said,"['Cabinet', 'be']","['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'VBZ']"
3,to,aux,be,[],['to'],"['S', 'S', 'VP', 'S', 'VP', 'TO']"
4,be,xcomp,hopes,"['to', 'able']","['to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'VB']"
5,able,acomp,be,['abolish'],"['able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'JJ']"
6,to,aux,abolish,[],['to'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'TO']"
7,abolish,xcomp,able,"['to', 'most', 'by', ',', 'including']","['to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'VB']"
8,most,dobj,abolish,['of'],"['most', 'of', 'the', 'remaining', 'corona', 'measures']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'NP', 'JJS']"
9,of,prep,most,['measures'],"['of', 'the', 'remaining', 'corona', 'measures']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'IN']"
10,the,det,measures,[],['the'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'DT']"
11,remaining,amod,measures,[],['remaining'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'VBG']"
12,corona,compound,measures,[],['corona'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NN']"
13,measures,pobj,of,"['the', 'remaining', 'corona']","['the', 'remaining', 'corona', 'measures']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'NP', 'PP', 'NP', 'NNS']"
14,by,prep,abolish,['beginning'],"['by', 'the', 'beginning', 'of', 'March']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'IN']"
15,the,det,beginning,[],['the'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
16,beginning,pobj,by,"['the', 'of']","['the', 'beginning', 'of', 'March']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NN']"
17,of,prep,beginning,['March'],"['of', 'March']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
18,March,pobj,of,[],['March'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
19,",",punct,abolish,[],"[',']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', ',']"
20,including,prep,abolish,['use'],"['including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'VBG']"
21,the,det,use,[],['the'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
22,use,pobj,including,"['the', 'of', 'and', 'rule']","['the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NN']"
23,of,prep,use,['masks'],"['of', 'face', 'masks']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
24,face,compound,masks,[],['face'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NN']"
25,masks,pobj,of,['face'],"['face', 'masks']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
26,and,cc,use,[],['and'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'CC']"
27,the,det,rule,[],['the'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'DT']"
28,1.5,nummod,meter,[],['1.5'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'CD']"
29,meter,nmod,rule,['1.5'],"['1.5', 'meter']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'NN']"
30,social,amod,distancing,[],['social'],"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'JJ']"
31,distancing,compound,rule,['social'],"['social', 'distancing']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'NN']"
32,rule,conj,use,"['the', 'meter', 'distancing']","['the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NN']"
33,",",punct,said,[],"[',']","['S', ',']"
34,sources,nsubj,said,[],['sources'],"['S', 'NP', 'NNS']"
35,said,ROOT,said,"['hopes', ',', 'sources', '.']","['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule', ',', 'sources', 'said', '.']","['S', 'VP', 'VBD']"
36,.,punct,said,[],['.'],"['S', '.']"
38,Those,nsubjpass,required,['wanting'],"['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']","['S', 'NP', 'NP', 'DT']"
39,wanting,acl,Those,['attend'],"['wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']","['S', 'NP', 'VP', 'VBG']"
40,to,aux,attend,[],['to'],"['S', 'NP', 'VP', 'S', 'VP', 'TO']"
41,attend,xcomp,wanting,"['to', 'festivals']","['to', 'attend', 'large', 'festivals', 'and', 'events']","['S', 'NP', 'VP', 'S', 'VP', 'VP', 'VB']"
42,large,amod,festivals,[],['large'],"['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'JJ']"
43,festivals,dobj,attend,"['large', 'and', 'events']","['large', 'festivals', 'and', 'events']","['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'NNS']"
44,and,cc,festivals,[],['and'],"['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'CC']"
45,events,conj,festivals,[],['events'],"['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'NNS']"
46,will,aux,required,[],['will'],"['S', 'VP', 'MD']"
47,be,auxpass,required,[],['be'],"['S', 'VP', 'VP', 'VB']"
48,required,ROOT,required,"['\n', 'Those', 'will', 'be', 'show', '.']","['\n', 'Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events', 'will', 'be', 'required', 'to', 'show', 'a', 'negative', 'coronavirus', 'test', '.']","['S', 'VP', 'VP', 'VP', 'VBN']"
49,to,aux,show,[],['to'],"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'TO']"
50,show,xcomp,required,"['to', 'test']","['to', 'show', 'a', 'negative', 'coronavirus', 'test']","['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
51,a,det,test,[],['a'],"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'DT']"
52,negative,amod,test,[],['negative'],"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'JJ']"
53,coronavirus,compound,test,[],['coronavirus'],"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
54,test,dobj,show,"['a', 'negative', 'coronavirus']","['a', 'negative', 'coronavirus', 'test']","['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
55,.,punct,required,[],['.'],"['S', '.']"
56,The,det,Cabinet,[],['The'],"['S', 'NP', 'DT']"
57,Cabinet,nsubj,wants,['The'],"['The', 'Cabinet']","['S', 'NP', 'NNP']"
58,first,advmod,wants,[],['first'],"['S', 'ADVP', 'RB']"
59,wants,ROOT,wants,"['Cabinet', 'first', 'hear', 'is', '.']","['The', 'Cabinet', 'first', 'wants', 'to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')', 'whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action', '.']","['S', 'VP', 'VBZ']"
60,to,aux,hear,[],['to'],"['S', 'VP', 'S', 'VP', 'TO']"
61,hear,xcomp,wants,"['to', 'from']","['to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']","['S', 'VP', 'S', 'VP', 'VP', 'VB']"
62,from,prep,hear,['Team'],"['from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
63,the,det,Team,[],['the'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
64,Outbreak,compound,Management,[],['Outbreak'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NML', 'NNP']"
65,Management,compound,Team,['Outbreak'],"['Outbreak', 'Management']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NML', 'NNP']"
66,Team,pobj,from,"['the', 'Management', '(', 'OMT', ')']","['the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NNP']"
67,(,punct,Team,[],['('],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', '-LRB-']"
68,OMT,appos,Team,[],['OMT'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NNP']"
69,),punct,Team,[],[')'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', '-RRB-']"
