token	dependency	head	dependent	constituent
The	det	Cabinet	[]	['The']
Cabinet	nsubj	hopes	['The']	['The', 'Cabinet']
hopes	ccomp	said	['Cabinet', 'be']	['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']
to	aux	be	[]	['to']
be	xcomp	hopes	['to', 'able']	['to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']
able	acomp	be	['abolish']	['able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']
to	aux	abolish	[]	['to']
abolish	xcomp	able	['to', 'most', 'by', ',', 'including']	['to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']
most	dobj	abolish	['of']	['most', 'of', 'the', 'remaining', 'corona', 'measures']
of	prep	most	['measures']	['of', 'the', 'remaining', 'corona', 'measures']
the	det	measures	[]	['the']
remaining	amod	measures	[]	['remaining']
corona	compound	measures	[]	['corona']
measures	pobj	of	['the', 'remaining', 'corona']	['the', 'remaining', 'corona', 'measures']
by	prep	abolish	['beginning']	['by', 'the', 'beginning', 'of', 'March']
the	det	beginning	[]	['the']
beginning	pobj	by	['the', 'of']	['the', 'beginning', 'of', 'March']
of	prep	beginning	['March']	['of', 'March']
March	pobj	of	[]	['March']
,	punct	abolish	[]	[',']
including	prep	abolish	['use']	['including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']
the	det	use	[]	['the']
use	pobj	including	['the', 'of', 'and', 'rule']	['the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']
of	prep	use	['masks']	['of', 'face', 'masks']
face	compound	masks	[]	['face']
masks	pobj	of	['face']	['face', 'masks']
and	cc	use	[]	['and']
the	det	rule	[]	['the']
1.5	nummod	meter	[]	['1.5']
meter	nmod	rule	['1.5']	['1.5', 'meter']
social	amod	distancing	[]	['social']
distancing	compound	rule	['social']	['social', 'distancing']
rule	conj	use	['the', 'meter', 'distancing']	['the', '1.5', 'meter', 'social', 'distancing', 'rule']
,	punct	said	[]	[',']
sources	nsubj	said	[]	['sources']
said	ROOT	said	['hopes', ',', 'sources', '.']	['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule', ',', 'sources', 'said', '.']
.	punct	said	[]	['.']
Those	nsubj	wanting	[]	['Those']
wanting	csubjpass	required	['Those', 'attend']	['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']
to	aux	attend	[]	['to']
attend	xcomp	wanting	['to', 'festivals']	['to', 'attend', 'large', 'festivals', 'and', 'events']
large	amod	festivals	[]	['large']
festivals	dobj	attend	['large', 'and', 'events']	['large', 'festivals', 'and', 'events']
and	cc	festivals	[]	['and']
events	conj	festivals	[]	['events']
will	aux	required	[]	['will']
be	auxpass	required	[]	['be']
required	ROOT	required	['wanting', 'will', 'be', 'show', '.']	['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events', 'will', 'be', 'required', 'to', 'show', 'a', 'negative', 'coronavirus', 'test', '.']
to	aux	show	[]	['to']
show	xcomp	required	['to', 'test']	['to', 'show', 'a', 'negative', 'coronavirus', 'test']
a	det	test	[]	['a']
negative	amod	test	[]	['negative']
coronavirus	compound	test	[]	['coronavirus']
test	dobj	show	['a', 'negative', 'coronavirus']	['a', 'negative', 'coronavirus', 'test']
.	punct	required	[]	['.']
The	det	Cabinet	[]	['The']
Cabinet	nsubj	wants	['The']	['The', 'Cabinet']
first	advmod	wants	[]	['first']
wants	ROOT	wants	['Cabinet', 'first', 'hear', 'is', '.']	['The', 'Cabinet', 'first', 'wants', 'to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')', 'whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action', '.']
to	aux	hear	[]	['to']
hear	xcomp	wants	['to', 'from']	['to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']
from	prep	hear	['Team']	['from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']
the	det	Team	[]	['the']
Outbreak	compound	Management	[]	['Outbreak']
Management	compound	Team	['Outbreak']	['Outbreak', 'Management']
Team	pobj	from	['the', 'Management', '(', 'OMT', ')']	['the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']
(	punct	Team	[]	['(']
OMT	appos	Team	[]	['OMT']
)	punct	Team	[]	[')']
whether	mark	is	[]	['whether']
such	amod	relaxation	[]	['such']
extensive	amod	relaxation	[]	['extensive']
relaxation	nsubj	is	['such', 'extensive', 'of']	['such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands']
of	prep	relaxation	['restrictions']	['of', 'the', 'restrictions', 'in', 'the', 'Netherlands']
the	det	restrictions	[]	['the']
restrictions	pobj	of	['the', 'in']	['the', 'restrictions', 'in', 'the', 'Netherlands']
in	prep	restrictions	['Netherlands']	['in', 'the', 'Netherlands']
the	det	Netherlands	[]	['the']
Netherlands	pobj	in	['the']	['the', 'Netherlands']
is	ccomp	wants	['whether', 'relaxation', 'course']	['whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action']
a	det	course	[]	['a']
responsible	amod	course	[]	['responsible']
course	attr	is	['a', 'responsible', 'of']	['a', 'responsible', 'course', 'of', 'action']
of	prep	course	['action']	['of', 'action']
action	pobj	of	[]	['action']
.	punct	wants	[]	['.']
Coronavirus	compound	infections	[]	['Coronavirus']
infections	nsubj	are	['Coronavirus', 'in']	['Coronavirus', 'infections', 'in', 'the', 'country']
in	prep	infections	['country']	['in', 'the', 'country']
the	det	country	[]	['the']
country	pobj	in	['the']	['the', 'country']
are	ROOT	are	['infections', 'currently', 'at', ',', 'and', 'rising']	['Coronavirus', 'infections', 'in', 'the', 'country', 'are', 'currently', 'at', 'an', 'all', '-', 'time', 'high', ',', 'and', 'Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']
currently	advmod	are	[]	['currently']
at	prep	are	['high']	['at', 'an', 'all', '-', 'time', 'high']
an	det	high	[]	['an']
all	det	time	[]	['all']
-	punct	time	[]	['-']
time	npadvmod	high	['all', '-']	['all', '-', 'time']
high	pobj	at	['an', 'time']	['an', 'all', '-', 'time', 'high']
,	punct	are	[]	[',']
and	cc	are	[]	['and']
Covid-19	compound	hospitalizations	[]	['Covid-19']
hospitalizations	nsubj	rising	['Covid-19']	['Covid-19', 'hospitalizations']
have	aux	rising	[]	['have']
been	aux	rising	[]	['been']
rising	conj	are	['hospitalizations', 'have', 'been', 'for', ',', 'but', 'remained', '.']	['Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']
for	prep	rising	['weeks']	['for', 'five', 'weeks']
five	nummod	weeks	[]	['five']
weeks	pobj	for	['five']	['five', 'weeks']
,	punct	rising	[]	[',']
but	cc	rising	[]	['but']
intensive	amod	admissions	[]	['intensive']
care	compound	admissions	[]	['care']
admissions	nsubj	remained	['intensive', 'care']	['intensive', 'care', 'admissions']
have	aux	remained	[]	['have']
remained	conj	rising	['admissions', 'have', 'near']	['intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low']
near	prep	remained	['low']	['near', 'a', '100', '-', 'day', 'low']
a	det	low	[]	['a']
100	nummod	day	[]	['100']
-	punct	day	[]	['-']
day	compound	low	['100', '-']	['100', '-', 'day']
low	pobj	near	['a', 'day']	['a', '100', '-', 'day', 'low']
.	punct	rising	[]	['.']
From	prep	be	['February']	['From', 'February', '25']
February	pobj	From	['25']	['February', '25']
25	nummod	February	[]	['25']
,	punct	be	[]	[',']
nightlife	compound	locations	[]	['nightlife']
locations	nsubj	be	['nightlife', ',', 'festivals', 'without']	['nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating']
,	punct	locations	[]	[',']
festivals	conj	locations	['and', 'events']	['festivals', 'and', 'events']
and	cc	festivals	[]	['and']
events	conj	festivals	[]	['events']
without	prep	locations	['seating']	['without', 'fixed', 'seating']
fixed	amod	seating	[]	['fixed']
seating	pobj	without	['fixed']	['fixed', 'seating']
may	aux	be	[]	['may']
already	advmod	be	[]	['already']
be	ROOT	be	['From', ',', 'locations', 'may', 'already', 'open', '.']	['From', 'February', '25', ',', 'nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating', 'may', 'already', 'be', 'open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection', '.']
open	acomp	be	['to']	['open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']
to	prep	open	['people']	['to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']
people	pobj	to	['test']	['people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']
who	nsubj	test	[]	['who']
test	relcl	people	['who', 'negative', 'for']	['who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']
negative	acomp	test	[]	['negative']
for	prep	test	['infection']	['for', 'the', 'coronavirus', 'infection']
the	det	infection	[]	['the']
coronavirus	compound	infection	[]	['coronavirus']
infection	pobj	for	['the', 'coronavirus']	['the', 'coronavirus', 'infection']
.	punct	be	[]	['.']
These	det	changes	[]	['These']
changes	nsubjpass	expected	['These', 'policy']	['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands']
to	aux	policy	[]	['to']
policy	relcl	changes	['to', 'in']	['to', 'policy', 'in', 'the', 'Netherlands']
in	prep	policy	['Netherlands']	['in', 'the', 'Netherlands']
the	det	Netherlands	[]	['the']
Netherlands	pobj	in	['the']	['the', 'Netherlands']
are	auxpass	expected	[]	['are']
expected	ROOT	expected	['changes', 'are', 'announced', '.']	['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands', 'are', 'expected', 'to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday', '.']
to	aux	announced	[]	['to']
be	auxpass	announced	[]	['be']
announced	xcomp	expected	['to', 'be', 'at']	['to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday']
at	prep	announced	['conference']	['at', 'a', 'press', 'conference', 'on', 'Tuesday']
a	det	conference	[]	['a']
press	compound	conference	[]	['press']
conference	pobj	at	['a', 'press', 'on']	['a', 'press', 'conference', 'on', 'Tuesday']
on	prep	conference	['Tuesday']	['on', 'Tuesday']
Tuesday	pobj	on	[]	['Tuesday']
.	punct	expected	[]	['.']
This	det	week	[]	['This']
week	npadvmod	said	['This']	['This', 'week']
,	punct	said	[]	[',']
Kuipers	nsubj	said	[]	['Kuipers']
said	ROOT	said	['week', ',', 'Kuipers', 'is', '.']	"['This', 'week', ',', 'Kuipers', 'said', 'the', 'government', ""'s"", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council', '.']"
the	det	government	[]	['the']
government	poss	focus	"['the', ""'s""]"	"['the', 'government', ""'s""]"
's	case	government	[]	"[""'s""]"
new	amod	focus	[]	['new']
focus	nsubj	is	['government', 'new']	"['the', 'government', ""'s"", 'new', 'focus']"
is	ccomp	said	['focus', 'keep']	"['the', 'government', ""'s"", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']"
to	aux	keep	[]	['to']
keep	xcomp	is	['to', 'open', 'celebrated']	['to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']
society	compound	open	[]	['society']
open	oprd	keep	['society', ',']	['society', 'open', ',']
,	punct	open	[]	[',']
which	nsubjpass	celebrated	[]	['which']
was	auxpass	celebrated	[]	['was']
celebrated	relcl	keep	['which', 'was', 'by']	['which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']
by	agent	celebrated	['mayors']	['by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']
the	det	mayors	[]	['the']
mayors	pobj	by	['the', 'on']	['the', 'mayors', 'on', 'the', 'Security', 'Council']
on	prep	mayors	['Council']	['on', 'the', 'Security', 'Council']
the	det	Council	[]	['the']
Security	compound	Council	[]	['Security']
Council	pobj	on	['the', 'Security']	['the', 'Security', 'Council']
.	punct	said	[]	['.']
If	mark	think	[]	['If']
the	det	experts	[]	['the']
experts	nsubj	think	['the']	['the', 'experts']
think	advcl	taken	"['If', 'experts', ""'s""]"	"['If', 'the', 'experts', 'think', 'it', ""'s"", 'justified']"
it	nsubj	's	[]	['it']
's	ccomp	think	['it', 'justified']	"['it', ""'s"", 'justified']"
justified	acomp	's	[]	['justified']
,	punct	taken	[]	[',']
further	amod	steps	[]	['further']
steps	nsubjpass	taken	['further']	['further', 'steps']
will	aux	taken	[]	['will']
probably	advmod	taken	[]	['probably']
be	auxpass	taken	[]	['be']
taken	ROOT	taken	['think', ',', 'steps', 'will', 'probably', 'be', 'at', '.']	"['If', 'the', 'experts', 'think', 'it', ""'s"", 'justified', ',', 'further', 'steps', 'will', 'probably', 'be', 'taken', 'at', 'the', 'beginning', 'of', 'March', '.']"
at	prep	taken	['beginning']	['at', 'the', 'beginning', 'of', 'March']
the	det	beginning	[]	['the']
beginning	pobj	at	['the', 'of']	['the', 'beginning', 'of', 'March']
of	prep	beginning	['March']	['of', 'March']
March	pobj	of	[]	['March']
.	punct	taken	[]	['.']
These	det	relaxations	[]	['These']
relaxations	nsubjpass	announced	['These']	['These', 'relaxations']
may	aux	announced	[]	['may']
be	auxpass	announced	[]	['be']
announced	ROOT	announced	['relaxations', 'may', 'be', 'at', ',', 'but', 'is']	['These', 'relaxations', 'may', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'March', '8', ',', 'but', 'that', 'is', 'not', 'yet', 'certain', '.']
at	prep	announced	['conference']	['at', 'a', 'press', 'conference', 'on', 'March', '8']
a	det	conference	[]	['a']
press	compound	conference	[]	['press']
conference	pobj	at	['a', 'press', 'on']	['a', 'press', 'conference', 'on', 'March', '8']
on	prep	conference	['March']	['on', 'March', '8']
March	pobj	on	['8']	['March', '8']
8	nummod	March	[]	['8']
,	punct	announced	[]	[',']
but	cc	announced	[]	['but']
that	nsubj	is	[]	['that']
is	conj	announced	['that', 'not', 'yet', 'certain', '.']	['that', 'is', 'not', 'yet', 'certain', '.']
not	neg	is	[]	['not']
yet	advmod	is	[]	['yet']
certain	acomp	is	[]	['certain']
.	punct	is	[]	['.']
Earlier	advmod	emerged	['in']	['Earlier', 'in', 'the', 'day']
in	prep	Earlier	['day']	['in', 'the', 'day']
the	det	day	[]	['the']
day	pobj	in	['the']	['the', 'day']
it	nsubjpass	emerged	[]	['it']
was	auxpass	emerged	[]	['was']
emerged	ROOT	emerged	['Earlier', 'it', 'was', 'wants', '.']	['Earlier', 'in', 'the', 'day', 'it', 'was', 'emerged', 'that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week', '.']
that	mark	wants	[]	['that']
the	det	Cabinet	[]	['the']
Cabinet	nsubj	wants	['the']	['the', 'Cabinet']
wants	ccomp	emerged	['that', 'Cabinet', 'extend']	['that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']
to	aux	extend	[]	['to']
extend	xcomp	wants	['to', 'hours', 'week']	['to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']
the	det	hours	[]	['the']
opening	compound	hours	[]	['opening']
hours	dobj	extend	['the', 'opening', 'for']	['the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']
for	prep	hours	['industry']	['for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']
the	det	industry	[]	['the']
hospitality	compound	industry	[]	['hospitality']
industry	pobj	for	['the', 'hospitality', ',', 'theaters']	['the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']
,	punct	industry	[]	[',']
theaters	conj	industry	['and', 'cinemas']	['theaters', 'and', 'cinemas']
and	cc	theaters	[]	['and']
cinemas	conj	theaters	[]	['cinemas']
next	amod	week	[]	['next']
week	npadvmod	extend	['next']	['next', 'week']
.	punct	emerged	[]	['.']
The	det	time	[]	['The']
exact	amod	time	[]	['exact']
time	nsubjpass	discussed	['The', 'exact', 'of']	['The', 'exact', 'time', 'of', 'closure']
of	prep	time	['closure']	['of', 'closure']
closure	pobj	of	[]	['closure']
is	aux	discussed	[]	['is']
still	advmod	discussed	[]	['still']
being	auxpass	discussed	[]	['being']
